solution,machine_id,feild_id,feild_name,lat,lng,area,machine_type,open_date,closed_date,work_date,distance,open_time,travel_time,start_time,operation_time,exit_time,leaf_ton,income
S1,M106,SS,จุดเริ่มต้น,14.7518,99.7934,0.0,Sweeper,2023-02-05,2023-02-10,2023-02-10,0.0,00:00,00:00,00:00,00:00,00:00,0.0,0.0
S1,M106,F221,M06 แปลงที่ 5 -42160020,14.78058264753,99.805323118006,9.31,Sweeper,2023-02-10,2023-02-10,2023-02-10,0.0,08:00,00:10,08:00,01:16,09:16,11.172,11172.0
S1,M106,F220,M06 แปลงที่ 4 -42160017,14.781933212904,99.804626469986,10.0,Sweeper,2023-02-09,2023-02-10,2023-02-10,1.287,08:00,00:04,09:20,01:21,10:40,12.0,12000.0
S1,M106,F218,M06 แปลงที่ 2 -42160086,14.782386226441,99.803268969525,12.71,Sweeper,2023-02-07,2023-02-10,2023-02-10,2.617,08:00,00:08,10:48,01:40,13:28,15.252,15252.0
S1,M106,F217,M06 แปลงที่ 1 -42160026,14.782584142021,99.803938559077,8.88,Sweeper,2023-02-06,2023-02-10,2023-02-10,0.007,08:00,00:00,13:28,01:13,14:40,10.656,10656.0
S1,M106,F219,M06 แปลงที่ 3 -42160108,14.783258869635,99.804578679598,7.7,Sweeper,2023-02-08,2023-02-10,2023-02-10,0.35,08:00,00:01,14:41,01:04,15:46,9.24,9240.0
S1,M106,F222,M06 แปลงที่ 6 -42160116,14.782601687452,99.805388028404,12.02,Sweeper,2023-02-11,2023-02-11,2023-02-11,0.336,08:00,00:01,08:00,01:35,09:35,14.424,14424.0
S1,M106,F228,M06 แปลงที่ 12 -42160101,14.785634693044,99.808059924664,12.07,Sweeper,2023-02-17,2023-02-17,2023-02-17,0.272,08:00,00:01,08:00,01:35,09:35,14.484,14484.0
S1,M106,F223,M06 แปลงที่ 7 -42160123,14.780752107283,99.808720883168,6.43,Sweeper,2023-02-11,2023-02-17,2023-02-17,0.398,08:00,00:01,09:36,00:55,10:32,7.716,7716.0
S1,M106,F224,M06 แปลงที่ 8 -42160022,14.779802588473,99.808443733269,9.89,Sweeper,2023-02-12,2023-02-17,2023-02-17,0.094,08:00,00:00,10:32,01:20,11:52,11.868,11868.0
S1,M106,F229,M06 แปลงที่ 13 -42160127,14.779593312897,99.807373890946,5.76,Sweeper,2023-02-18,2023-02-18,2023-02-18,0.045,08:00,00:00,08:00,00:51,08:51,6.912,6912.0
S1,M106,F230,M06 แปลงที่ 14 -42160013,14.780833724681,99.807631073308,7.66,Sweeper,2023-02-19,2023-02-19,2023-02-19,0.175,08:00,00:01,08:00,01:04,09:04,9.192,9192.0
S1,M106,F231,M06 แปลงที่ 15 -42160142,14.780472589442,99.807140819366,2.1,Sweeper,2023-02-19,2023-02-19,2023-02-19,0.0,08:00,00:00,09:04,00:25,09:29,2.52,2520.0
S1,M106,F235,M06 แปลงที่ 19 -42160088,14.781293042979,99.806331462076,16.74,Sweeper,2023-02-20,2023-02-20,2023-02-20,0.0,08:00,00:00,08:00,02:08,10:08,20.088,20088.0
S1,M106,F234,M06 แปลงที่ 18 -42160121,14.781353339143,99.808004428368,3.4,Sweeper,2023-02-20,2023-02-20,2023-02-20,0.1,08:00,00:00,10:08,00:34,10:42,4.08,4080.0
S1,M106,F225,M06 แปลงที่ 9 -42160038,14.781580772572,99.809022973283,9.52,Sweeper,2023-02-13,2023-02-20,2023-02-20,0.047,08:00,00:00,10:43,01:17,11:60,11.424,11424.0
S1,M106,F232,M06 แปลงที่ 16 -42160128,14.781636448617,99.807246435313,3.55,Sweeper,2023-02-19,2023-02-20,2023-02-20,0.033,08:00,00:00,11:60,00:35,13:35,4.26,4260.0
S1,M106,F233,M06 แปลงที่ 17 -42160141,14.782117897738,99.807899768941,2.11,Sweeper,2023-02-20,2023-02-20,2023-02-20,0.069,08:00,00:00,13:35,00:25,14:00,2.532,2532.0
S1,M106,F226,M06 แปลงที่ 10 -42160004,14.785233840102,99.809501854737,12.17,Sweeper,2023-02-14,2023-02-20,2023-02-20,1.391,08:00,00:04,14:04,01:36,15:40,14.604,14604.0
S1,M106,F227,M06 แปลงที่ 11 -42160029,14.786192637854,99.807580727554,18.72,Sweeper,2023-02-15,2023-02-21,2023-02-20,0.582,08:00,00:02,15:42,02:22,09:04,22.464,22464.0
